Gene,Achilles_common_essential (1912),Hart et al. [2017] core (684),Behan et al. [2019] pan-cancer (553),Hart et al. [2015] core (1580),A priori CEG set
INTS1,1,1,0,1,3
INTS11,1,0,0,0,1
INTS14,1,0,0,0,1
INTS2,1,0,1,1,3
INTS3,1,1,0,1,3
INTS4,1,0,1,1,3
INTS5,1,0,0,1,2
INTS7,1,0,0,1,2
INTS8,1,1,0,1,3
INTS9,1,1,1,1,4
IPO11,1,0,0,1,2
IPO13,1,1,0,1,3
IPO7,1,0,0,1,2
IPO9,1,0,0,1,2
ISCA2,1,0,0,0,1
ISCU,1,1,1,1,4
ISG20L2,1,1,0,1,3
ISY1,1,0,0,1,2
JAZF1,1,0,0,0,1
KANSL1,1,0,0,1,2
KANSL2,1,0,1,1,3
KANSL3,1,1,0,1,3
KARS1,1,0,0,0,1
KAT5,1,0,0,0,1
KAT8,1,1,1,1,4
KCMF1,1,0,0,0,1
KDM2A,1,0,0,0,1
KDM8,1,0,0,1,2
KIAA1143,1,0,0,0,1
KIF11,1,1,1,1,4
KIF14,1,0,0,0,1
KIF18A,1,0,0,1,2
KIF20A,1,0,0,0,1
KIF23,1,1,1,1,4
KIF4A,1,0,0,0,1
KIFBP,1,0,0,0,1
KIN,1,0,1,1,3
KLC2,1,0,0,0,1
KLHL11,1,0,0,0,1
KMT5A,1,0,0,0,1
KNL1,1,0,0,0,1
KPNB1,1,1,1,1,4
KRAS,1,0,0,0,1
KRBOX5,1,0,0,0,1
KRR1,1,1,0,1,3
KRT8,1,0,0,0,1
KRTAP17-1,1,0,0,0,1
KRTAP21-1,1,0,0,0,1
KRTAP4-11,1,0,1,0,2
KRTAP4-2,1,0,0,0,1
KRTAP5-11,1,0,0,0,1
KTI12,1,0,0,1,2
LAMTOR2,1,0,0,1,2
LAMTOR3,1,0,0,0,1
LAMTOR4,1,0,0,0,1
LARS1,1,0,0,0,1
LAS1L,1,1,0,1,3
LCE2A,1,0,0,0,1
LCE3A,1,0,0,0,1
LCE5A,1,0,0,0,1
LENG8,1,0,0,1,2
LETM1,1,0,0,0,1
LIMS1,1,0,0,0,1
LIN52,1,0,0,1,2
LIN9,1,0,0,0,1
LLPH,1,0,0,0,1
LONP1,1,1,0,1,3
LRPPRC,1,0,0,1,2
LRR1,1,1,0,1,3
LRRC37A3,1,0,0,0,1
LRRC37B,1,0,0,0,1
LSG1,1,1,0,1,3
LSM10,1,0,0,0,1
LSM11,1,1,0,1,3
LSM12,1,1,0,0,2
LSM14A,1,0,0,0,1
LSM2,1,1,1,0,3
LSM3,1,0,1,0,2
LSM4,1,0,1,1,3
LSM5,1,0,1,0,2
LSM6,1,0,0,0,1
LSM7,1,1,1,1,4
LSM8,1,0,0,0,1
LST1,1,0,0,0,1
LTO1,1,0,0,0,1
LTV1,1,0,0,1,2
LUC7L3,1,1,1,1,4
LYRM4,1,0,0,1,2
MAD2L1,1,1,1,0,3
MAD2L1BP,1,0,0,0,1
MAD2L2,1,0,0,1,2
MAGOH,1,1,0,0,2
MAK16,1,1,1,1,4
MARS1,1,0,0,0,1
MARS2,1,1,0,1,3
MASTL,1,1,1,1,4
MAT2A,1,0,0,1,2
MAX,1,0,0,0,1
MCCD1,1,0,0,0,1
MCL1,1,0,0,0,1
MCM10,1,0,0,1,2
MCM2,1,0,1,1,3
MCM3,1,1,1,1,4
MCM3AP,1,1,1,1,4
MCM4,1,1,0,1,3
MCM5,1,1,1,1,4
MCM6,1,0,1,1,3
MCM7,1,1,1,1,4
MCMBP,1,0,0,1,2
MCRS1,1,0,0,0,1
MDM2,1,0,0,1,2
MDN1,1,1,1,1,4
MEAF6,1,0,0,0,1
MED1,1,0,0,1,2
MED10,1,0,0,0,1
MED11,1,1,1,1,4
MED14,1,0,0,1,2
MED17,1,0,0,1,2
MED18,1,1,0,1,3
MED20,1,0,1,1,3
MED21,1,0,0,0,1
MED22,1,0,0,0,1
MED26,1,0,0,1,2
MED27,1,1,1,1,4
MED28,1,0,1,0,2
MED29,1,0,0,0,1
MED30,1,1,1,1,4
MED31,1,0,1,0,2
MED4,1,0,1,1,3
MED6,1,0,1,1,3
MED7,1,0,0,1,2
MED8,1,0,0,0,1
MED9,1,0,0,1,2
MEPCE,1,1,1,1,4
METAP1,1,0,0,1,2
METAP2,1,0,0,1,2
METTL1,1,0,0,1,2
METTL14,1,0,0,0,1
METTL15,1,0,0,0,1
METTL16,1,1,0,1,3
METTL17,1,0,0,1,2
METTL3,1,0,0,1,2
